[Tue Jul  3 11:06:16.713 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:16.717 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] zedaubni
[Tue Jul  3 11:06:16.729 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:16.733 2012] 0.000 sec [all/2/rel 12 (0,2000)] [street_core] moskovi
[Tue Jul  3 11:06:16.781 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:16.785 2012] 0.000 sec [all/2/rel 1 (0,2000)] [street_core] kvantaliani akaki
[Tue Jul  3 11:06:16.800 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:16.804 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] zvareti
[Tue Jul  3 11:06:16.820 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:16.825 2012] 0.000 sec [all/2/rel 0 (0,2000)] [street_core] chirnakhuli
[Tue Jul  3 11:06:16.828 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:16.832 2012] 0.000 sec [all/2/rel 47 (0,2000)] [street_core] pirosmani
[Tue Jul  3 11:06:16.996 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:16.999 2012] 0.000 sec [all/2/rel 0 (0,2000)] [street_core] nakashidze ilia
[Tue Jul  3 11:06:17.004 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.008 2012] 0.000 sec [all/2/rel 3 (0,2000)] [street_core] dedoplistskaro
[Tue Jul  3 11:06:17.027 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.031 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] sachilao
[Tue Jul  3 11:06:17.047 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.051 2012] 0.000 sec [all/2/rel 0 (0,2000)] [street_core] samretsvelo dasakhlebi
[Tue Jul  3 11:06:17.056 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.059 2012] 0.000 sec [all/2/rel 0 (0,2000)] [street_core] khvedeliani iakobi
[Tue Jul  3 11:06:17.064 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.068 2012] 0.000 sec [all/2/rel 13 (0,2000)] [street_core] saakadze giorgi
[Tue Jul  3 11:06:17.249 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.253 2012] 0.000 sec [all/2/rel 3 (0,2000)] [street_core] mtisdziri
[Tue Jul  3 11:06:17.269 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.272 2012] 0.000 sec [all/2/rel 0 (0,2000)] [street_core] ararati
[Tue Jul  3 11:06:17.278 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.282 2012] 0.000 sec [all/2/rel 4 (0,2000)] [street_core] khimshiashvili selimi
[Tue Jul  3 11:06:17.305 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.308 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] megreladze avqsenti
[Tue Jul  3 11:06:17.325 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.329 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] khakhanashvili aleqsandre
[Tue Jul  3 11:06:17.347 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.351 2012] 0.000 sec [all/2/rel 4 (0,2000)] [street_core] likhauri
[Tue Jul  3 11:06:17.372 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.376 2012] 0.000 sec [all/2/rel 5 (0,2000)] [street_core] ilori
[Tue Jul  3 11:06:17.404 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.408 2012] 0.000 sec [all/2/rel 4 (0,2000)] [street_core] maisuradze
[Tue Jul  3 11:06:17.433 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.436 2012] 0.000 sec [all/2/rel 1 (0,2000)] [street_core] baqradze daviti
[Tue Jul  3 11:06:17.448 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.452 2012] 0.000 sec [all/2/rel 1 (0,2000)] [street_core] chkondideli giorgi
[Tue Jul  3 11:06:17.465 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.469 2012] 0.000 sec [all/2/rel 0 (0,2000)] [street_core] samretsvelo dasakhlebi ii quchi
[Tue Jul  3 11:06:17.475 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.478 2012] 0.000 sec [all/2/rel 40 (0,2000)] [street_core] kakheti
[Tue Jul  3 11:06:17.616 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.620 2012] 0.000 sec [all/2/rel 1 (0,2000)] [street_core] knolevi
[Tue Jul  3 11:06:17.632 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.636 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] tsinamdzghvrishvili mikheili
[Tue Jul  3 11:06:17.770 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.774 2012] 0.000 sec [all/2/rel 23 (0,2000)] [street_core] kazbegi aleqsandre
[Tue Jul  3 11:06:17.862 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.865 2012] 0.000 sec [all/2/rel 1 (0,2000)] [street_core] tsagareli archili
[Tue Jul  3 11:06:17.879 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.883 2012] 0.000 sec [all/2/rel 27 (0,2000)] [street_core] tsereteli akaki
[Tue Jul  3 11:06:17.982 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:17.985 2012] 0.000 sec [all/2/rel 7 (0,2000)] [street_core] javakheti
[Tue Jul  3 11:06:18.016 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:18.020 2012] 0.000 sec [all/2/rel 7 (0,2000)] [street_core] cholokashvili qaqutsa
[Tue Jul  3 11:06:18.051 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:18.055 2012] 0.000 sec [all/2/rel 0 (0,2000)] [street_core] skhulukhia grigoli
[Tue Jul  3 11:06:18.060 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:18.064 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] berbuki
[Tue Jul  3 11:06:18.080 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:18.084 2012] 0.000 sec [all/2/rel 5 (0,2000)] [street_core] doesi
[Tue Jul  3 11:06:18.111 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:18.115 2012] 0.000 sec [all/2/rel 35 (0,2000)] [street_core] gorki
[Tue Jul  3 11:06:18.361 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:18.365 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] bagrationi petre
[Tue Jul  3 11:06:18.383 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:18.387 2012] 0.000 sec [all/2/rel 1 (0,2000)] [street_core] givishvili
